ABSTIMMUNG_NAME;ABGEORDNETE_GES;DICT_KEYS
ueberpruefung-des-jahresmittelgrenzwerts-fuer-stickoxid;709;709
aenderungsantrag-zur-brueckenteilzeit;709;709
anpassung-des-kindergeldes-fuer-im-ausland-lebende-kinder;709;709
erweiterung-der-sicheren-herkunftslaender;709;709
verlaengerung-des-anti-einsatzes-der-bundeswehr-im-irak;709;709
bundeshaushalt-2018;709;707
haushalt-2018-geschaeftsbereich-der-bundeskanzlerin-und-des;709;709
haushalt-2018-geschaeftsbereich-des-verteidigungsministeriums;709;709
abschliessende-finanzhilfen-fuer-griechenland;709;709
abschaffung-der-sanktionen-bei-hartz-iv-und-sozialhilfe;709;709
weidetierpraemie-einfuehren;709;709
aenderung-des-parteiengesetzes-partg;709;709
neuregelung-des-familiennachzugs-zu-subsidiaer-schutzberechtigten;709;709
verlaengerung-des-bundeswehreinsatzes-im-libanon-unifil-2018;709;709
verlaengerung-des-bundeswehreinsatzes-im-kosovo-kfor;709;707
verlaengerung-des-bundeswehreinsatzes-im-mittelmeer-eunavfor-med-2018;709;709
verschaerfung-der-mietpreisbremse;709;709
einspruch-gegen-den-alice-weidel-erteilten-ordnungsruf;709;709
ausschluss-der-npd-von-der-parteienfinanzierung;709;709
anti-einsatz-der-bundeswehr-im-irak;709;709
ausweitung-des-ausbildungseinsatzes-der-bundeswehr-afghanistan;709;709
verlaengerung-des-bundeswehreinsatzes-im-mittelmeer-sea-guardian-2018;709;709
verstaerkung-der-grenzkontrollen;709;709
antrag-auf-inhaltliche-distanzierung-des-bundestages-von-deniz-yuecel;709;693
gesetzesentwurf-der-afd-zum-familiennachzug;709;707
gesetzesentwurf-der-union-zum-familiennachzug;709;709
gesetzesentwurf-der-linksfraktion-zum-familiennachzug;709;709
verlaengerung-des-bundeswehreinsatzes-im-suedsudan-unmiss-2017;709;709
verlaengerung-des-darfur-einsatzes-unamid-2017;709;709
diaetenanpassung-der-abgeordneten;709;709
verlaengerung-des-bundeswehreinsatzes-afghanistan-2017;709;707
verlaengerung-der-bundeswehrbeteiligung-nato-operation-sea-guardian-2017;709;709
verlaengerung-ausbildungsfortsetzung-irak;709;709
verlaengerung-des-bundeswehreinsatzes-in-mali-minusma-2020-2021;709;707
verlaengerung-des-bundeswehreinsatzes-in-mali-eutm-mali-2020-2021;709;709
verlaengerung-des-bundeswehreinsatzes-in-somalia-atalanta-2020-2021;709;709
verlaengerung-des-bundeswehreinsatzes-mali-eutm-mali-2019-2020;709;709
verlaengerung-des-bundeswehreinsatzes-somalia-atalanta-2019-2020;709;709
verlaengerung-des-bundeswehreinsatzes-mali-minusma-2019-2020;709;709
verlaengerung-des-bundeswehreinsatzes-mali-minusma-2018-2019;709;709
verlaengerung-des-bundeswehreinsatzes-somalia-atalanta-2018-2019;709;709
verlaengerung-des-bundeswehreinsatzes-mali-eutm-2018-2019;709;709
verlaengerung-des-bundeswehreinsatzes-im-suedsudan-unmiss-2018-19;709;709
verlaengerung-des-bundeswehreinsatzes-darfur-unamid-2018-19;709;709
verlaengerung-des-bundeswehreinsatzes-mali-minusma-2017-2018;709;709
#########################################################
bundeshaushalt-2021;709;709
weiterfuehrung-des-bundeswehreinsatzes-im-irak;708;708
wahlrechtsreform-verkleinerung-des-bundestages;709;709
#########################################################
bundeshaushalt-2021;709;709
weiterfuehrung-des-bundeswehreinsatzes-im-irak;708;708
wahlrechtsreform-verkleinerung-des-bundestages;709;709
verlaengerung-des-bundeswehreinsatzes-vor-der-libanesischen-kueste-unifil;709;709
regelsatz-der-grundsicherung-erhoehen;709;709
aufnahme-besonders-schutzbeduerftiger-gefluechteter-aus-den-griechischen;709;709
organspenden-reform-widerspruchsloesung;709;709
masernimpfpflicht-gemeinschaftseinrichtungen;709;709
hoehere-foerderung-biologischer-und-umweltgerechter-landwirtschaft;709;709
europaeisch-einheitliche-rahmenbedingungen-fuer-die-landwirtschaft;708;708
